#
# FPS Robot Array Configuration
#
# Focal Plane Layout 2 - Rings & Things Configuration
# 2018 Jan 28 [rwp/osu]
#
# ID = a unique integer identifier for the robot
# Row = row number (Y-axis, -14 to +14, 0 is center row)
# Pos = position in row (X-axis, 0 to N_row-1, increasing with +x)
# X,Y = X,Y position in mm relative to field center (0,0)
# Assignment = position assignment
#    BA = BOSS+APOGEE Fibers
#    BOSS = BOSS Fiber (no APOGEE fiber)
#    Fiducial = Fixed Illuminated Fiducial
# Sextant = sextant number (-1 for fiducials)
#
# Totals:
#    500 robots: 300 B+A, 200 BOSS-only
#     72 Fiducials
#
# ID     Row   Pos     X (mm)  Y (mm)          Assignment     Sextant
   0       8   17      156.8   155.1918         Fiducial         -1
 363       8   18      179.2   155.1918               BA          5
 364       8   19      201.6   155.1918               BA          5
 365       8   20      224.0   155.1918               BA          5
   0       7    0     -235.2   135.7928         Fiducial         -1
 366       7    1     -212.8   135.7928             BOSS          5
 367       7    2     -190.4   135.7928               BA          5
 368       7    3     -168.0   135.7928             BOSS          5
 369       7    4     -145.6   135.7928               BA          5
 370       7    5     -123.2   135.7928             BOSS          5
 371       7    6     -100.8   135.7928               BA          5
 372       7    7      -78.4   135.7928               BA          5
 373       7    8      -56.0   135.7928             BOSS          5
 374       7    9      -33.6   135.7928             BOSS          5
 375       7   10      -11.2   135.7928             BOSS          5
 376       7   11       11.2   135.7928             BOSS          5
 377       7   12       33.6   135.7928             BOSS          5
 378       7   13       56.0   135.7928             BOSS          5
 379       7   14       78.4   135.7928               BA          5
 380       7   15      100.8   135.7928               BA          5
 381       7   16      123.2   135.7928             BOSS          5
 382       7   17      145.6   135.7928               BA          5
 383       7   18      168.0   135.7928             BOSS          5
 384       7   19      190.4   135.7928               BA          5
 385       7   20      212.8   135.7928             BOSS          5
   0       7   21      235.2   135.7928         Fiducial         -1
 386       6    0     -246.4   116.3938               BA          5
 387       6    1     -224.0   116.3938             BOSS          5
 388       6    2     -201.6   116.3938               BA          5
 389       6    3     -179.2   116.3938             BOSS          5
 390       6    4     -156.8   116.3938               BA          5
 391       6    5     -134.4   116.3938             BOSS          5
 392       6    6     -112.0   116.3938               BA          5
 393       6    7      -89.6   116.3938             BOSS          5
 394       6    8      -67.2   116.3938               BA          5
   0       6    9      -44.8   116.3938         Fiducial         -1
 395       6   10      -22.4   116.3938               BA          5
 396       6   11        0.0   116.3938               BA          5
 397       6   12       22.4   116.3938               BA          5
   0       6   13       44.8   116.3938         Fiducial         -1
 398       6   14       67.2   116.3938               BA          5
 399       6   15       89.6   116.3938             BOSS          5
 400       6   16      112.0   116.3938               BA          5
 401       6   17      134.4   116.3938             BOSS          5
 402       6   18      156.8   116.3938               BA          5
 403       6   19      179.2   116.3938             BOSS          5
 404       6   20      201.6   116.3938               BA          5
 405       6   21      224.0   116.3938             BOSS          5
 406       6   22      246.4   116.3938               BA          5
 407       5    0     -257.6    96.9948               BA          5
 408       5    1     -235.2    96.9948               BA          5
 409       5    2     -212.8    96.9948               BA          5
 410       5    3     -190.4    96.9948             BOSS          5
   0       5    4     -168.0    96.9948         Fiducial         -1
 411       5    5     -145.6    96.9948             BOSS          5
 412       5    6     -123.2    96.9948               BA          5
 413       5    7     -100.8    96.9948             BOSS          5
 414       5    8      -78.4    96.9948               BA          5
 415       5    9      -56.0    96.9948             BOSS          5
 416       5   10      -33.6    96.9948               BA          5
 417       5   11      -11.2    96.9948             BOSS          6
 418       5   12       11.2    96.9948             BOSS          6
 419       5   13       33.6    96.9948               BA          6
 420       5   14       56.0    96.9948             BOSS          6
 421       5   15       78.4    96.9948               BA          6
 422       5   16      100.8    96.9948             BOSS          6
 423       5   17      123.2    96.9948               BA          6
 424       5   18      145.6    96.9948             BOSS          6
   0       5   19      168.0    96.9948         Fiducial         -1
 425       5   20      190.4    96.9948             BOSS          6
 426       5   21      212.8    96.9948               BA          6
 427       5   22      235.2    96.9948               BA          6
 428       5   23      257.6    96.9948               BA          6
   0       4    0     -268.8    77.5959         Fiducial         -1
 429       4    1     -246.4    77.5959             BOSS          6
 430       4    2     -224.0    77.5959               BA          6
 431       4    3     -201.6    77.5959             BOSS          6
 432       4    4     -179.2    77.5959               BA          6
 433       4    5     -156.8    77.5959             BOSS          6
 434       4    6     -134.4    77.5959               BA          6
 435       4    7     -112.0    77.5959             BOSS          6
 436       4    8      -89.6    77.5959               BA          6
   0       4    9      -67.2    77.5959         Fiducial         -1
 437       4   10      -44.8    77.5959               BA          6
